LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
20000,female,university,married,24,2,2,-1,-1,-2,-2,3102.0,0.0,0.0,689.0,0,0.0,0.0,0.0,1
120000,female,university,single,26,-1,2,0,0,0,2,1725.0,3455.0,0.0,1000.0,1000,1000.0,0.0,2000.0,1
90000,female,university,single,34,0,0,0,0,0,0,14027.0,14948.0,1518.0,1500.0,1000,1000.0,1000.0,5000.0,0
50000,female,university,married,37,0,0,0,0,0,0,48233.0,28959.0,2000.0,2019.0,1200,1100.0,1069.0,1000.0,0
50000,male,university,married,57,-1,0,-1,0,0,0,5670.0,19146.0,2000.0,10401.100000000024,10000,9000.0,689.0,679.0,0
50000,male,graduate school,single,37,0,0,0,0,0,0,57069.0,19619.0,2500.0,1815.0,657,1000.0,1000.0,800.0,0
500000,male,graduate school,single,29,0,0,0,0,0,0,136905.5000000001,115883.00000000003,10300.0,10401.100000000024,10000,9570.600000000013,9500.0,9600.0,0
100000,female,university,single,23,0,-1,-1,0,0,-1,380.0,-159.0,380.0,601.0,0,581.0,1687.0,1542.0,0
140000,female,high school,married,28,0,0,2,0,0,0,14096.0,11793.0,3329.0,0.0,432,1000.0,1000.0,1000.0,0
20000,male,high school,single,35,-2,-2,-2,-2,-1,-1,0.0,13007.0,0.0,0.0,0,9570.600000000013,1122.0,0.0,0
200000,female,high school,single,34,0,0,2,0,0,-1,9787.0,1828.0,2306.0,12.0,50,300.0,3738.0,66.0,0
260000,female,graduate school,single,51,-1,-1,-1,-1,-1,2,21670.0,22287.0,10300.0,9966.0,8583,9570.600000000013,0.0,3640.0,0
500000,female,university,single,41,-1,0,-1,-1,-1,-1,6500.0,6500.0,1000.0,6500.0,6500,6500.0,2870.0,0.0,0
70000,male,university,single,30,1,2,2,0,0,2,67369.0,36137.0,3200.0,0.0,3000,3000.0,1500.0,0.0,1
250000,male,graduate school,single,29,0,0,0,0,0,0,67060.0,56875.0,3000.0,3000.0,3000,3000.0,3000.0,3000.0,0
50000,female,high school,others,23,1,2,0,0,0,0,29173.0,29531.0,0.0,1500.0,1100,1200.0,1300.0,1100.0,0
20000,male,graduate school,single,24,0,0,2,2,2,2,18010.0,17905.0,3200.0,0.0,1500,0.0,1650.0,0.0,1
320000,male,graduate school,married,49,0,0,0,-1,-1,-1,136905.5000000001,5856.0,10300.0,10000.0,10000,9570.600000000013,9500.0,9600.0,0
360000,female,graduate school,married,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
180000,female,graduate school,single,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
130000,female,high school,single,39,0,0,0,0,0,-1,27688.0,11802.0,3000.0,1537.0,1000,2000.0,930.0,9600.0,0
120000,female,university,married,39,-1,-1,-1,-1,-1,-1,316.0,632.0,316.0,316.0,0,632.0,316.0,0.0,1
70000,female,university,single,26,2,0,0,2,2,2,42445.0,46905.0,2007.0,3582.0,0,3601.0,0.0,1820.0,1
450000,female,graduate school,married,40,-2,-2,-2,-2,-2,-2,19420.0,0.0,10300.0,1473.0,560,0.0,0.0,1128.0,1
90000,male,graduate school,single,23,0,0,0,-1,0,0,7070.0,6360.0,5757.0,0.0,5398,1200.0,2045.0,2000.0,0
50000,male,high school,single,23,0,0,0,0,0,0,41810.0,29829.0,1973.0,1426.0,1001,1432.0,1062.0,997.0,0
60000,male,graduate school,single,27,1,-2,-1,-1,-1,-1,-200.0,127.0,0.0,1000.0,0,500.0,0.0,1000.0,1
50000,female,high school,single,30,0,0,0,0,0,0,16138.0,18931.0,1300.0,1300.0,1000,1500.0,1000.0,1012.0,0
50000,female,high school,married,47,-1,-1,-1,-1,-1,-1,3415.0,30430.0,3415.0,3421.0,2044,9570.600000000013,257.0,0.0,0
